M,m,alpha,delta,log_delta
3,390,0.6000000000000001,0.0005763878738467313,3.239285164528499
3,390,0.6500000000000001,0.001936337901281477,2.7130188537130504
3,390,0.7000000000000002,0.0052161809908408754,2.2826473478820097
3,390,0.7500000000000002,0.0026331641618624058,2.579522064415184
3,390,0.8000000000000003,0.0024278077617210353,2.614785704470357
3,390,0.8500000000000003,0.0016568011777441233,2.7807296053944253
3,390,0.9000000000000004,0.0027892211641633888,2.554517048097658
3,390,0.9500000000000004,0.0076035329484184806,2.118984567786896
3,390,1.0000000000000004,8.708503312519962,-0.9399435213719654
3,410,0.5,0.0002688691500971426,3.570459025635327
3,410,0.55,0.0033747798523777674,2.471754552319151
3,410,0.6000000000000001,0.0019961551202262004,2.699805712928086
3,410,0.6500000000000001,0.0013261689718673505,2.877401137413629
3,410,0.7000000000000002,0.003389151295481271,2.46990904334143
3,410,0.7500000000000002,0.019126883457128516,1.7183557883436107
3,410,0.8000000000000003,0.00521519301303598,2.282729613805949
3,410,0.8500000000000003,0.0018388918350942295,2.735443815516272
3,410,0.9000000000000004,0.0055965368125329325,2.2520806352203238
3,410,0.9500000000000004,0.004380526675298504,2.3584736706774097
3,410,1.0000000000000004,10.089039673930548,-1.003849829848277
3,430,0.5,0.0005338248166928903,3.272601240398161
3,430,0.55,0.005913945824718422,2.2281226581889357
